date_time_UTC,latitude_deg,longitude_deg,depth_km,magnitude_value,magnitude_type,region
10/19/2025 13:23,27.432,126.712,173,4.6,mb,NORTHWEST OF RYUKYU ISLANDS
10/18/2025 23:43,29.6,129.8,0,3.4,M,"RYUKYU ISLANDS, JAPAN"
10/18/2025 17:19,29.353,131.739,10,4.6,mb,SOUTHEAST OF RYUKYU ISLANDS
10/18/2025 12:37,36.49,128.05,18,2.3,M,SOUTH KOREA
10/18/2025 5:45,43.05,137.07,300,4.1,mb,EASTERN SEA OF JAPAN
10/17/2025 20:28,29.852,139.098,413,4.6,mb,"IZU ISLANDS, JAPAN REGION"
10/16/2025 1:51,33.9,132.1,60,3.3,M,"SHIKOKU, JAPAN"
10/15/2025 18:57,36.8,141.4,10,4.1,M,"NEAR EAST COAST OF HONSHU, JAPAN"
10/15/2025 8:50,38.814,140.845,70,4,M,"EASTERN HONSHU, JAPAN"
10/14/2025 23:29,30.377,138.368,434,4.5,mb,"IZU ISLANDS, JAPAN REGION"
10/14/2025 14:23,29.4,129.5,20,3.2,M,"RYUKYU ISLANDS, JAPAN"
10/14/2025 12:34,24.7,125.3,50,3.5,M,"SOUTHWESTERN RYUKYU ISL., JAPAN"
10/14/2025 3:34,39.647,139.397,10,4.6,mb,"NEAR WEST COAST OF HONSHU, JAPAN"
10/13/2025 22:06,39.5,142,20,4.2,M,"NEAR EAST COAST OF HONSHU, JAPAN"
10/13/2025 17:33,35.8,137.3,10,3.4,M,"EASTERN HONSHU, JAPAN"
10/13/2025 15:59,42.2,141.9,40,3,M,"HOKKAIDO, JAPAN REGION"
10/13/2025 10:25,37.5,137.4,10,3,M,"NEAR WEST COAST OF HONSHU, JAPAN"
10/13/2025 3:25,38.638,142.477,33,4.7,mb,"NEAR EAST COAST OF HONSHU, JAPAN"
10/12/2025 3:34,42.3,143,60,3.6,M,"HOKKAIDO, JAPAN REGION"
10/11/2025 19:25,36.9,136.3,10,3.6,M,"NEAR WEST COAST OF HONSHU, JAPAN"
10/11/2025 14:24,27.3,127.7,90,4.3,mb,"RYUKYU ISLANDS, JAPAN"
10/11/2025 3:30,36.6,141,50,3.6,M,"NEAR EAST COAST OF HONSHU, JAPAN"
10/11/2025 3:22,30.369,138.511,437,4.8,mb,"IZU ISLANDS, JAPAN REGION"
10/10/2025 22:06,41.887,142.49,35,4.3,mb,"HOKKAIDO, JAPAN REGION"
10/10/2025 21:39,37.2,141,100,3.6,M,"NEAR EAST COAST OF HONSHU, JAPAN"
10/10/2025 12:25,38,141.8,60,4,M,"NEAR EAST COAST OF HONSHU, JAPAN"
10/8/2025 21:51,34.9,136.8,10,3.3,M,"WESTERN HONSHU, JAPAN"
10/8/2025 7:09,42.1,140.4,0,3,M,"HOKKAIDO, JAPAN REGION"
10/8/2025 6:29,35,134.1,10,3,M,"WESTERN HONSHU, JAPAN"
10/8/2025 2:49,36.28,127.76,9,3.1,M,SOUTH KOREA
10/7/2025 21:38,29.314,129.194,15,5.3,Mw,"RYUKYU ISLANDS, JAPAN"
10/7/2025 17:02,29.3,129.1,10,3.9,M,"RYUKYU ISLANDS, JAPAN"
10/7/2025 4:53,29.4,129.3,10,3,M,"RYUKYU ISLANDS, JAPAN"
10/7/2025 1:42,37.758,144.137,6,4.6,mb,"OFF EAST COAST OF HONSHU, JAPAN"
10/7/2025 1:17,37.76,144.109,7,4.7,mb,"OFF EAST COAST OF HONSHU, JAPAN"
10/7/2025 0:30,37.559,141.331,56,5.1,Mw,"NEAR EAST COAST OF HONSHU, JAPAN"
10/6/2025 20:02,27.264,140.256,444,4.1,mb,"BONIN ISLANDS, JAPAN REGION"
10/6/2025 18:25,37.792,144.214,10,4.7,mb,"OFF EAST COAST OF HONSHU, JAPAN"
10/6/2025 14:58,37.719,144.134,10,4.9,mb,"OFF EAST COAST OF HONSHU, JAPAN"
10/6/2025 14:20,37.752,144.161,10,4.8,mb,"OFF EAST COAST OF HONSHU, JAPAN"
10/6/2025 2:31,39.8,141.8,60,3.8,M,"EASTERN HONSHU, JAPAN"
10/5/2025 22:44,29.4,129.6,0,3.2,M,"RYUKYU ISLANDS, JAPAN"
10/5/2025 15:35,43,144.7,110,4,M,"HOKKAIDO, JAPAN REGION"
10/5/2025 10:58,34.9,136.8,20,3.2,M,"WESTERN HONSHU, JAPAN"
10/5/2025 6:31,42.5,141.9,130,4.2,mb,"HOKKAIDO, JAPAN REGION"
10/5/2025 5:42,29.5,129.5,20,3.4,M,"RYUKYU ISLANDS, JAPAN"
10/5/2025 3:49,33.27,127.54,19,2.8,M,SOUTH KOREA
10/4/2025 15:21,37.434,141.527,40,6,Mw,"NEAR EAST COAST OF HONSHU, JAPAN"
10/4/2025 14:15,39.777,142.201,45,4.5,mb,"NEAR EAST COAST OF HONSHU, JAPAN"
10/4/2025 2:46,39.7,142.1,40,3.2,M,"NEAR EAST COAST OF HONSHU, JAPAN"
10/3/2025 8:45,38.3,141.7,60,3.2,M,"NEAR EAST COAST OF HONSHU, JAPAN"
10/3/2025 6:20,37.3,141.3,60,4.4,M,"NEAR EAST COAST OF HONSHU, JAPAN"
10/3/2025 3:48,35.536,139.948,110,4.5,mb,"NEAR S. COAST OF HONSHU, JAPAN"
10/3/2025 3:37,34.92,140.15,65,4.3,M,"NEAR EAST COAST OF HONSHU, JAPAN"
10/2/2025 23:15,29.6,129.7,10,3,M,"RYUKYU ISLANDS, JAPAN"
